Produto Original,Total Unidades,Frequencia,Termo de Busca
Edistride 10mg 30 comprimidos,385.0,14,Edistride
Berotec 100mcg/ml 200 doses 10ml,385.0,16,Berotec Ml 200 Doses
Lavagem Nasal Rinosoro Alto Volume 30 sachês,385.0,12,Lavagem Nasal Rinosoro Alto Volume 30 Sachês
Salonpas Gel 20g,385.0,15,Salonpas Gel
Anador 500mg/ml Gotas 20ml,385.0,13,Anador Ml Gotas
Apracur Duo 20 comprimidos,384.0,12,Apracur Duo
Bravan 320mg 30 comprimidos revestidos,384.0,13,Bravan Revestidos
"Iumi ES 3mg + 0,02mg 30 comprimidos revestidos",384.0,13,Iumi Es 0 Revestidos
"Triplixam 10mg + 2,5mg + 10mg 30 comprimidos revestidos",384.0,12,Triplixam 2 Revestidos
Decadron 4mg 10 comprimidos,384.0,14,Decadron
Atrofem 400mg 2 cápsulas,384.0,14,Atrofem
Sal de Frutas Eno Guaraná 2 envelopes com 5g,384.0,13,Sal De Frutas Eno Guaraná Com
Kaloba 825mg/ml Gotas 20ml,383.0,13,Kaloba Ml Gotas
Analgésico CataflamPRO Emugel 150g,383.0,16,Analgésico Cataflampro Emugel
Complexo Homeopático Almeida Prado N 28 60 Comprimidos,383.0,14,Complexo Homeopático Almeida Prado N 28
Lactolínea 667mg/ml Sabor Salada de Frutas 120ml,383.0,13,Lactolínea Ml Sabor Salada De Frutas
"Ártico 1,5g + 1,2g 30 sachês com 5g de pó para solução oral",383.0,16,Ártico 1 1 30 Sachês Com De Pó Para Solução Oral
Antialérgico Allegra 180mg 10 comprimidos revestidos,382.0,14,Antialérgico Allegra Revestidos
Cerazette 75mcg 84 comprimidos revestidos,382.0,12,Cerazette Revestidos
Motix FQM 50 Comprimidos,382.0,13,Motix Fqm
Analgésico Novalgina 500mg 30 comprimidos,382.0,14,Analgésico Novalgina
AAS Protect 100mg 30 comprimidos revestidos de liberação entérica,382.0,14,Aas Protect Revestidos De Liberação Entérica
"DEFLAIMMUN - 7,5mg, 20 comprimidos",382.0,13,Deflaimmun 7
Dozoito 25mg 30 comprimidos,382.0,15,Dozoito
Eliquis 5mg 60 comprimidos revestidos,381.0,13,Eliquis Revestidos
Pant Sec 50mg/ml Refil 50ml,381.0,14,Pant Sec Ml Refil
Linadib 5mg 30 comprimidos revestidos,381.0,13,Linadib Revestidos
Nebilet 5mg 60 comprimidos,381.0,15,Nebilet
Duspatalin 200mg 30 cápsulas gelatinosas duras de liberação prolongada,381.0,15,Duspatalin Gelatinosas Duras De Liberação Prolongada
Antialérgico Allegra D 60mg + 120mg 10 comprimidos revestidos de camada dupla,381.0,15,Antialérgico Allegra D Revestidos De Camada Dupla
Benestare 625mg 30 comprimidos revestidos,381.0,14,Benestare Revestidos
Artrosil 320mg 20 cápsulas duras de liberação prolongada,381.0,15,Artrosil Duras De Liberação Prolongada
Proflam 100mg 12 comprimidos,380.0,14,Proflam
"Libiam 2,5mg 28 comprimidos",380.0,14,Libiam 2
Quenzor 100mg 30 cápsulas duras de liberação prolongada,380.0,14,Quenzor Duras De Liberação Prolongada
Corus 50mg 30 comprimidos revestidos,380.0,14,Corus Revestidos
Sumax 100mg 6 comprimidos revestidos,380.0,15,Sumax Revestidos
Vitafer 109mg 50 comprimidos revestidos,380.0,13,Vitafer Revestidos
Androgel 50mg 30 envelopes com 5g de gel de uso dermatológico,380.0,13,Androgel Com De Gel De Uso Dermatológico
Digestil 4mg/ml Sabor Menta 20ml,380.0,14,Digestil Ml Sabor Menta
Lipless 100mg 60 comprimidos,380.0,14,Lipless
Adesivos Salonpas Pequeno 10un,379.0,13,Adesivos Salonpas Pequeno 10Un
Proctocaps 20 cápsulas,379.0,15,Proctocaps
"Iumi 3mg + 0,02mg 72 comprimidos revestidos",379.0,14,Iumi 0 Revestidos
Suplemento Vitamínico Imunoglucan DS 30 Cápsulas,379.0,15,Suplemento Vitamínico Imunoglucan Ds
Suplemento Hidroeletrolítico Hidralyte Natulab Tutti-Frutti 500ml,379.0,13,Suplemento Hidroeletrolítico Hidralyte Natulab Tutti Frutti
"Libiam 1,25mg 28 comprimidos revestidos",379.0,12,Libiam 1 Revestidos
"Insulina Humalog 300UI Refil para Caneta Eli Lilly, 2un com 3ml de solução de uso subcutâneo",379.0,16,Insulina Humalog 300Ui Refil Para Caneta Eli Lilly 2Un Com De Solução De Uso Subcutâneo
Neolefrin Dia Neo Química 20 comprimidos,379.0,13,Neolefrin Dia Neo Química
Ginkgo Biloba Catarinense 80mg 30 comprimidos,379.0,13,Ginkgo Biloba Catarinense
Bravan Duo 160mg/10mg 30 comprimidos,379.0,14,Bravan Duo
Neosaldina Dip 1g 20 comprimidos,379.0,15,Neosaldina Dip
Buclina 25mg 30 comprimidos,378.0,13,Buclina
Vitacid XT 1mg/g Creme 25g,378.0,13,Vitacid Xt G Creme
Óleo de Girassol Skinage 200ml,378.0,14,Óleo De Girassol Skinage
Fledoid 500 Pomada 40g,378.0,12,Fledoid 500 Pomada
Glifage XR 1g 30 comprimidos de liberação prolongada,378.0,14,Glifage Xr De Liberação Prolongada
Naldecon Pack 2 comprimidos Noite e 4 comprimidos Dia,378.0,13,Naldecon Pack Noite E Dia
"Biofenac 11,6mg/g Gel 30g",377.0,14,Biofenac 11 G Gel
Doss 3.000UI Vitamina D3 30 cápsulas gelatinosas moles,377.0,13,Doss 3 000Ui Vitamina D3 Gelatinosas Moles
Solução Antisséptica Malvatricin Spray 50ml,377.0,15,Solução Antisséptica Malvatricin Spray
Divelol 25mg 60 comprimidos,377.0,13,Divelol
Probiótico Culturelle Saúde Digestiva 10 Cápsulas,377.0,14,Probiótico Culturelle Saúde Digestiva
Elixir Paregórico 30ml,377.0,14,Elixir Paregórico
Tebonin 80mg 30 comprimidos,376.0,13,Tebonin
Depo-Medrol 40mg/ml 1 ampola de 2ml,376.0,13,Depo Medrol Ml 1 Ampola De
"Ginesse 0,075mg + 0,02mg 21 comprimidos revestidos",376.0,14,Ginesse 0 0 Revestidos
Clenil HFA Spray 50mcg 200 doses 10ml,376.0,14,Clenil Hfa Spray 200 Doses
Pastilhas Vick Drops Sabor Artificial de Mentol 10g,376.0,12,Pastilhas Vick Drops Sabor Artificial De Mentol
"Vecasten 26,7mg 30 comprimidos",376.0,14,Vecasten 26
"Neodia 1,5mg Neo Química 1 comprimido",376.0,14,Neodia 1 Neo Química
Pastilha Ciflogex Sabor Menta e Limão 12un,375.0,14,Pastilha Ciflogex Sabor Menta E Limão 12Un
Enavo ODT 4mg 10 comprimidos EMS,375.0,14,Enavo Odt Ems
Escabin Pro 4% Emulsão Capilar 100ml,375.0,12,Escabin Pro 4 Emulsão Capilar
Sucrafilm 1g 30 comprimidos mastigáveis,375.0,13,Sucrafilm Mastigáveis
Gel Nenê Dent N 10g,375.0,12,Gel Nenê Dent N
Aspirina C 2 Sabor Limão comprimidos efervescentes,375.0,13,Aspirina C 2 Sabor Limão Comprimidos Efervescentes
"BENICAR HCT - 20 + 12,5mg, 30 comprimidos revestidos",375.0,12,Benicar Hct 20 12 Revestidos
"Melocox 10mg/ml Solução Injetável 5 ampolas com 1,5ml cada",375.0,13,Melocox Ml Solução Injetável 5 Ampolas Com 1 Cada
Peg-Lax 17g Pó para Solução Sabor Limão 14 envelopes,374.0,13,Peg Lax Pó Para Solução Sabor Limão
Restaurador da Flora Intestinal Repoflor 100mg 12 cápsulas duras,374.0,14,Restaurador Da Flora Intestinal Repoflor Duras
Nebitah 5mg 30 comprimidos,374.0,14,Nebitah
Tropinal 15ml,374.0,12,Tropinal
Synthroid 200mcg 30 comprimidos,374.0,12,Synthroid
Pastilha Benalet Sabor Menta 4un,374.0,13,Pastilha Benalet Sabor Menta 4Un
Bisalax 5mg 20 drágeas,373.0,16,Bisalax
Laxante Natural Glicerin Lactantes 6 supositórios,373.0,12,Laxante Natural Glicerin Lactantes 6 Supositórios
Antux Gotas 20ml,373.0,14,Antux Gotas
Mydriacyl 10mg/ml Solução Oftálmica 5ml,373.0,12,Mydriacyl Ml Solução Oftálmica
Formocaps 12mcg Refil 30 cápsulas com pó para inalação,373.0,13,Formocaps Refil Com Pó Para Inalação
Puran T4 50mcg 30 comprimidos,373.0,12,Puran T4
Spidufen 770mg Sabor Damasco 10 envelopes com 3g,373.0,13,Spidufen Sabor Damasco Com
Bionginkgo 120mg Bionatus 30 comprimidos,372.0,12,Bionginkgo Bionatus
Buscopan Composto 4 comprimidos revestidos,372.0,13,Buscopan Composto Revestidos
Tandrilax Aché 15 comprimidos,372.0,12,Tandrilax Aché
Clenil A 400mcg/ml 10 flaconetes com 2ml cada,372.0,13,Clenil A Ml 10 Flaconetes Com Cada
Propilracil 100mg 30 comprimidos,372.0,15,Propilracil
Vitamina D3 Addera D3 10.000UI 4 Comprimidos Revestidos,372.0,14,Vitamina D3 Addera D3 10 000Ui Revestidos
Flutinol1mg/ml Suspensão Oftálmica 5ml,372.0,13,Flutinol Ml Suspensão Oftálmica
Vaporizante Descongestionante Vick VapoRub Unguento 50g,372.0,15,Vaporizante Descongestionante Vick Vaporub Unguento
"Solução Oftálmica Lumigan 0,3% 3ml",372.0,14,Solução Oftálmica Lumigan 0 3
Endofer 50mg 30ml,371.0,16,Endofer
Vastarel MR 35mg 30 comprimidos de liberação prolongada,371.0,15,Vastarel Mr De Liberação Prolongada
Vitamina D3 Addera D3 2.000 U.I. 30 cápsulas gelatinosas,371.0,13,Vitamina D3 Addera D3 2 000 U I Gelatinosas
Fluimucil 600mg Sabor Limão 16 comprimidos efervescentes,371.0,15,Fluimucil Sabor Limão Efervescentes
Afopic 5mg 20 comprimidos,371.0,15,Afopic
Scalid 100mg 12 comprimidos,371.0,13,Scalid
Zyxem 5mg/ml Gotas 20ml,371.0,15,Zyxem Ml Gotas
Sporanox 100mg 4 cápsulas,371.0,13,Sporanox
Lugano 12mcg + 250mcg 60 cápsulas com pó para inalação + inalador,371.0,15,Lugano Com Pó Para Inalação Inalador
Dprev 14.000ui 04 comprimidos revestidos,370.0,14,Dprev 14 000Ui Revestidos
Combiron Fólico 120mg 45 comprimidos,370.0,12,Combiron Fólico
Antialérgico Polaramine Creme 10mg/g 30g,370.0,13,Antialérgico Polaramine Creme G
Apidra Solostar 100UI/ml 1 carpule com 3ml + 1 sistema de aplicação,370.0,14,Apidra Solostar 100Ui Ml 1 Carpule Com 1 Sistema De Aplicação
"Natrilix 2,5mg 30 drágeas",370.0,13,Natrilix 2
Tamarine 6mg 20 cápsulas,370.0,14,Tamarine
"Dunia 35 2mg + 0,035mg 21 comprimidos",370.0,12,Dunia 35 0
Gaballon 50mg + 50mg + 2mg + 4mg + 4mg 20 comprimidos,370.0,14,Gaballon
"Triplixam 10mg + 2,5mg + 5mg 30 comprimidos revestidos",369.0,13,Triplixam 2 Revestidos
"Niki 3mg + 0,02mg 72 comprimidos revestidos",369.0,12,Niki 0 Revestidos
"Iumi ES 3mg + 0,02mg 120 comprimidos",369.0,13,Iumi Es 0
Vitamina D Cimed 7.000UI 4 Cápsulas Moles,369.0,13,Vitamina D Cimed 7 000Ui Moles
Xarope Mucosolvan 15mg/5ml Pediátrico 120ml,369.0,13,Xarope Mucosolvan Pediátrico
Trilax 300mg + 125mg + 50mg + 30mg 12 comprimidos,369.0,15,Trilax
Lasix 40mg 20 comprimidos,368.0,13,Lasix
Biofenac Aerossol 85ml,368.0,13,Biofenac Aerossol
Brondilat 25mg/5ml Xarope Sabor Framboesa 120ml,368.0,15,Brondilat Xarope Sabor Framboesa
Sal de Frutas Eno Limão 2 envelopes com 5g,368.0,15,Sal De Frutas Eno Limão Com
"Liberfem 2mg + 0,03mg 21 comprimidos revestidos",368.0,14,Liberfem 0 Revestidos
Filinar 25mg/5ml Xarope 120ml,368.0,15,Filinar Xarope
"Cronobê 5.000mcg 2 ampolas com 2,5ml cada",368.0,16,Cronobê 5 2 Ampolas Com 2 Cada
Ártico Caps 500mg + 400mg 30 cápsulas moles,368.0,13,Ártico Caps Moles
"CONCÁRDIO - 1,25mg, 30 comprimidos revestidos",367.0,13,Concárdio 1 Revestidos
"Solução Nasal Aturgyl 0,5mg/ml Spray 15ml",367.0,13,Solução Nasal Aturgyl 0 Ml Spray
Silimalon 140mg + 100mg 30 comprimidos,367.0,14,Silimalon
"Avodart 0,5mg 30 cápsulas gelatinosas moles",367.0,13,Avodart 0 Gelatinosas Moles
"Fenazic 7,5mg 30 comprimidos revestidos de liberação prolongada",367.0,13,Fenazic 7 Revestidos De Liberação Prolongada
Creon 25.000 30 cápsulas com minimicroesferas acidorresitentes,366.0,15,Creon 25 000 Com Minimicroesferas Acidorresitentes
"Andolba 4,5mg/g + 0,5mg/g + 0,5mg/g 43g",366.0,12,Andolba 4 G 0 G 0 G
Dolamin 125mg 16 comprimidos revestidos,366.0,13,Dolamin Revestidos
ABC Spray 10mg/ml 30ml,366.0,14,Abc Spray Ml
Hipérico Herbarium 100mg 45 cápsulas duras,366.0,12,Hipérico Herbarium Duras
"Naprix 2,5mg 30 comprimidos",366.0,13,Naprix 2
Gel Dersani Hidrogel 30g,365.0,13,Gel Dersani Hidrogel
Gel Nasal Maxidrate 6mg/g 30g,365.0,12,Gel Nasal Maxidrate G
Spasmex 30mg 90 comprimidos revestidos,365.0,14,Spasmex Revestidos
Resist 500mg 30 cápsulas,365.0,14,Resist
Silimalon 70mg + 100mg 30 Drágeas,365.0,13,Silimalon
"Norestin 0,35mg 35 comprimidos",365.0,14,Norestin 0
Suplemento Alimentar Probid 5 Cápsulas,364.0,13,Suplemento Alimentar Probid
Triancil 20mg/ml Solução Injetável 5 frascos-ampola com 1ml cada,364.0,14,Triancil Ml Solução Injetável 5 Frascos Ampola Com Cada
Xefo 8mg 20 comprimidos revestidos,364.0,14,Xefo Revestidos
Pomada Proctyl 30g + 10 aplicadores,364.0,12,Pomada Proctyl 10 Aplicadores
Gestinol 28 75mcg +30mcg 28 comprimidos revestidos,364.0,12,Gestinol 28 Revestidos
Zinpass Eze 20mg + 10mg 30 comprimidos revestidos,364.0,14,Zinpass Eze Revestidos
Maxalt 10mg 2 comprimidos revestidos,364.0,13,Maxalt Revestidos
"Vitanol A 0,25mg/g 30g Creme Dermatológico",364.0,16,Vitanol A 0 G Creme Dermatológico
Sabonete Sanasar 80g,363.0,14,Sabonete Sanasar
Miosan CAF 10mg + 60mg 15 comprimidos revestidos,363.0,14,Miosan Caf Revestidos
Diovan HCT 160mg + 25mg Novartis 28 comprimidos revestidos,363.0,14,Diovan Hct Novartis Revestidos
Ginkgo 40mg Herbarium 60 cápsulas duras,363.0,14,Ginkgo Herbarium Duras
Prolopa HBS 100/25mg 30 cápsulas,363.0,15,Prolopa Hbs 100
"Untral 2,5mg Aché 90 cápsulas",363.0,13,Untral 2 Aché
Avide 100mg 9 cápsulas duras,362.0,14,Avide Duras
Tilatil 20mg 10 comprimidos revestidos,362.0,14,Tilatil Revestidos
Cataflam Sport Ice Aerossol 60g,362.0,15,Cataflam Sport Ice Aerossol
"Xarope Cimetosse 13,33mg/ml Sabor Mel e Menta 120ml",362.0,13,Xarope Cimetosse 13 Ml Sabor Mel E Menta
Alginac Retard 10 comprimidos revestidos de liberação retardada,362.0,13,Alginac Retard Revestidos De Liberação Retardada
Atlansil 100mg 20 comprimidos,362.0,13,Atlansil
Utrogestan 100mg 30 cápsulas,362.0,13,Utrogestan
Pastilhas Angino-Rub Sabor Mel e Limão 16un,362.0,13,Pastilhas Angino Rub Sabor Mel E Limão 16Un
Nesina 25mg 30 comprimidos revestidos,362.0,15,Nesina Revestidos
Diovan Amlo Fix 160mg + 5mg 28 comprimidos revestidos,362.0,12,Diovan Amlo Fix Revestidos
AltaD 50.000UI 4 cápsulas moles,362.0,13,Altad 50 000Ui Moles
LuftaFEM 200mg + 500mg 6 comprimidos revestidos,362.0,13,Luftafem Revestidos
Malvona Solução Oral 100ml,362.0,16,Malvona Solução Oral
Ultibro 110mg + 50mcg 30 cápsulas com pó para inalação + 1 inalador,362.0,15,Ultibro Com Pó Para Inalação 1 Inalador
Vênula 200mg 60 cápsulas duras,361.0,16,Vênula Duras
Suplemento Capilar Pantogar Neo 60 Cápsulas,361.0,14,Suplemento Capilar Pantogar Neo
"Celergin 0,25mg + 2mg 20 comprimidos",361.0,14,Celergin 0
Solução Malvatricin 100ml,361.0,14,Solução Malvatricin
Duoflam 5mg/ml + 2mg/ml Suspensão Injetável com 1ml + seringa,361.0,14,Duoflam Ml Ml Suspensão Injetável Com Seringa
Dorilen Gotas 15ml,361.0,13,Dorilen Gotas
Suplemento Alimentar Engov After Sabor Tangerina 250ml,361.0,14,Suplemento Alimentar Engov After Sabor Tangerina
"Solução Oftálmica Patanol 1,11mg/ml 5ml",361.0,13,Solução Oftálmica Patanol 1 Ml
Flanax 275mg 2 Comprimidos Revestidos,360.0,14,Flanax Revestidos
Tâmisa 20 75mcg + 20mcg 63 comprimidos revestidos,360.0,13,Tâmisa 20 Revestidos
"Actifedrin 6mg/ml + 0,25mg/ml Xarope 100ml",360.0,14,Actifedrin Ml 0 Ml Xarope
"Omnic Ocas 0,4mg 30 comprimidos de liberação prolongada",360.0,14,Omnic Ocas 0 De Liberação Prolongada
"Solução Oftálmica Glaub MD 0,1% 5ml",359.0,12,Solução Oftálmica Glaub Md 0 1
Dews 5mg/ml Solução Oftálmica 10ml,359.0,13,Dews Ml Solução Oftálmica
Tepev 500mg 100 cápsulas duras,359.0,14,Tepev Duras
Indocid 50mg 30 cápsulas,359.0,15,Indocid
"FLANCOX - 300mg, 14 comprimidos revestidos",359.0,12,Flancox Revestidos
Salonpas Gel 40g,359.0,13,Salonpas Gel
Oxotron 60mg 30 comprimidos,359.0,14,Oxotron
Naxotec Naproxeno 500mg 10 Comprimidos,359.0,14,Naxotec Naproxeno
"Fluidificante e Descongestionante Nasal Rinosoro XT Gotas 0,9% 30ml",359.0,13,Fluidificante E Descongestionante Nasal Rinosoro Xt Gotas 0 9
Dexfer 100mg/ml Gotas Sabor doce de Leite 30ml,358.0,14,Dexfer Ml Gotas Sabor Doce De Leite
Solução Spray Desaftan Aftas e Afecções Bucais 25ml,358.0,13,Solução Spray Desaftan Aftas E Afecções Bucais
Pastilha Ciflogex Sabor Laranja 12un,358.0,13,Pastilha Ciflogex Sabor Laranja 12Un
Suplemento Alimentar Sulfato Ferroso 125mg/ml Arte Nativa Sabor Framboesa 30ml,358.0,13,Suplemento Alimentar Sulfato Ferroso Ml Arte Nativa Sabor Framboesa
Blumel Hedera Xarope 15mg/ml 100ml,358.0,14,Blumel Hedera Xarope Ml
Loxonin 60mg 15 comprimidos,357.0,13,Loxonin
"Evra 0,6mg + 6mg 3 adesivos transdérmicos",357.0,14,Evra 0 3 Adesivos Transdérmicos
Colact 667mg/ml Sabor Ameixa 120ml,357.0,12,Colact Ml Sabor Ameixa
Dexador 5mg + 100mg + 100mg + 4mg Solução Injetável 3 ampolas A (2ml) + 3 ampolas B (1ml),357.0,13,Dexador Solução Injetável 3 Ampolas A 3 Ampolas B
Suplemento Hidroeletrolítico Sorox Sabor Tangerina 550ml,357.0,15,Suplemento Hidroeletrolítico Sorox Sabor Tangerina
Gestinol 30mcg + 75mcg 84 comprimidos revestidos,357.0,12,Gestinol Revestidos
Solução de Desinfecção Multipropósito Opti-Free Replenish 300ml + 120ml + Estojo de Lentes,357.0,16,Solução De Desinfecção Multipropósito Opti Free Replenish Estojo De Lentes
Nevralgex Cimed 10 comprimidos,357.0,12,Nevralgex Cimed
"SELOKEN - 100mg, 30 comprimidos",357.0,14,Seloken
Synthroid 112mcg 30 comprimidos,357.0,13,Synthroid
"Dermatop 2,5mg/g Creme Dermatológico 20g",357.0,13,Dermatop 2 G Creme Dermatológico
Pyridium 200mg 18 Drágeas,357.0,13,Pyridium
"Dalyne 3,0mg + 0,3mg 21 comprimidos revestidos",357.0,15,Dalyne 3 0 Revestidos
Nidue 100mg + 20mg 12 comprimidos,357.0,13,Nidue
Antialérgico Polaramine 2mg 20 Comprimidos,356.0,13,Antialérgico Polaramine
"Floratil AT 250mg 10 envelopes de 1,25g",356.0,14,Floratil At De 1
Analgésico Advil 400mg 16 cápsulas líquidas,356.0,13,Analgésico Advil Líquidas
Óleo Mineral União Química 100ml,356.0,14,Óleo Mineral União Química
Tiorfan 100mg 9 cápsulas,356.0,13,Tiorfan
"TUNTÁ - 300mg, com 30 comprimidos revestidos",356.0,13,Tuntá Com Revestidos
Femina 150mcg + 20mcg 21 comprimidos revestidos,356.0,12,Femina Revestidos
Fluimucil D 600mg 16 envelopes com 5g cada,356.0,12,Fluimucil D Com Cada
Analgésico Dorflex 10 comprimidos,356.0,14,Analgésico Dorflex
Benicar Anlo 20mg + 5mg 30 comprimidos revestidos,356.0,12,Benicar Anlo Revestidos
"Terolac 0,5% Solução Oftálmica 5ml",356.0,14,Terolac 0 5 Solução Oftálmica
Folifer Gotas 30ml,356.0,13,Folifer Gotas
"Alektos PED 2,5mg/ml Sabor Framboesa 120ml",356.0,12,Alektos Ped 2 Ml Sabor Framboesa
"Kaloba 111,111mg 21 comprimidos revestidos",355.0,15,Kaloba 111 Revestidos
Feldene 20mg 15 cápsulas,355.0,12,Feldene
Vast 20mg 30 comprimidos revestidos,355.0,13,Vast Revestidos
Miosan 10mg 10 comprimidos revestidos,355.0,14,Miosan Revestidos
Solução Oftálmica Atropina 1% 5ml,355.0,12,Solução Oftálmica Atropina 1
Naprix 5mg 30 comprimidos,355.0,13,Naprix
Protetor Ocular Oftam Pequeno Colorido 20un,355.0,13,Protetor Ocular Oftam Pequeno Colorido 20Un
"Ablok Plus 25mg + 12,5mg 60 comprimidos",355.0,13,Ablok Plus 12
Benerva 300mg 30 comprimidos revestidos,355.0,13,Benerva Revestidos
"Solução Oftálmica Britens 0,2% + 0,5% 5ml",355.0,13,Solução Oftálmica Britens 0 2 0 5
Melocox 15mg 10 comprimidos,355.0,13,Melocox
Sal de Frutas Eno Tônica 2 envelopes com 5g cada,355.0,13,Sal De Frutas Eno Tônica Com Cada
Cetrolac SL 10mg 20 comprimidos sublinguais,355.0,13,Cetrolac Sl Sublinguais
Complexo Homeopático Almeida Prado N 18 60 Comprimidos,355.0,14,Complexo Homeopático Almeida Prado N 18
"Xarope Vibral 1,5mg/ml Sabor Framboesa 120ml",355.0,14,Xarope Vibral 1 Ml Sabor Framboesa
Pomada Bucal Mud Oral 1mg/g 10g,354.0,15,Pomada Bucal Mud Oral G
Femoston Conti 1mg + 5mg 28 comprimidos revestidos,354.0,12,Femoston Conti Revestidos
"Narix 0,5mg/ml Cimed 30ml",354.0,13,Narix 0 Ml Cimed
Mesacol MMX 1200mg 30 comprimidos revestidos de liberação prolongada,354.0,14,Mesacol Mmx Revestidos De Liberação Prolongada
Maleato de Dexclorfeniramina 2mg/5ml Cimed 120ml,354.0,14,Maleato De Dexclorfeniramina Cimed
Ésio 40mg 28 comprimidos revestidos,354.0,13,Ésio Revestidos
Myrbetric 50mg 30 comprimidos revestidos de liberação prolongada,354.0,12,Myrbetric Revestidos De Liberação Prolongada
Lisador Dip 1g 20 comprimidos,354.0,12,Lisador Dip
Xarope Vick 44E 240ml,354.0,13,Xarope Vick 44E
Synthroid 137mcg 30 comprimidos,353.0,12,Synthroid
Teflan 20mg 10 comprimidos revestidos,353.0,12,Teflan Revestidos
"Reduclim 1,25mg 35 comprimidos",353.0,13,Reduclim 1
"Solução Oftálmica Combigan 0,2% + 0,5% 10ml",353.0,13,Solução Oftálmica Combigan 0 2 0 5
Daflon 1000mg FFPM 30 comprimidos revestidos,353.0,12,Daflon Ffpm Revestidos
"Trok-N 20mg/g + 0,64mg/g + 2,5mg/g Creme 10g",353.0,12,Trok N G 0 G 2 G Creme
Suplemento Vitamínico Apevitin BC Xarope 240ml,353.0,13,Suplemento Vitamínico Apevitin Bc Xarope
Antiácido Pó Efervescente Estomazil Sem Sabor 5g,353.0,12,Antiácido Pó Efervescente Estomazil Sem Sabor
Bendita Cânfora 8 tabletes,353.0,13,Bendita Cânfora 8 Tabletes
Cebralat 50mg 60 comprimidos,352.0,13,Cebralat
Nevralgex 300mg + 50mg + 35mg 30 comprimidos,352.0,13,Nevralgex
Gel Hidratante Cicatrimed 30g,352.0,15,Gel Hidratante Cicatrimed
Atroveran Dip 1g 10 comprimidos,352.0,13,Atroveran Dip
Sumaxpro 50mg + 500mg 2 comprimidos revestidos,352.0,12,Sumaxpro Revestidos
Isordil Sublingual 5mg 30 comprimidos sublinguais,352.0,13,Isordil Sublingual Sublinguais
Renitec 5mg 30 comprimidos,352.0,13,Renitec
"RETEMIC - 1mg/mL, 1 frasco com 120mL xarope",352.0,12,Retemic Ml 1
Supositório de Glicerina Granado Infantil 12un,352.0,14,Supositório De Glicerina Granado Infantil 12Un
Pasta D'Água Calamed Cimed 250mg/g 100g,351.0,13,Pasta D Água Calamed Cimed G
Cataflam 50mg 20 drágeas,351.0,13,Cataflam
Somalgin Cardio 100mg 60 comprimidos revestidos de dupla camada,351.0,12,Somalgin Cardio Revestidos De Dupla Camada
Humulin N NPH 100UI/ml 2 Refis de 3ml cada,351.0,13,Humulin N Nph 100Ui Ml 2 Refis De Cada
Mirtax 5mg 15 comprimidos revestidos,351.0,13,Mirtax Revestidos
Xarope Sedavan 3mg/ml Infantil Sabor Framboesa 100ml,351.0,15,Xarope Sedavan Ml Infantil Sabor Framboesa
Descongestionante Nasal Sorine H 3% Spray 50ml,351.0,14,Descongestionante Nasal Sorine H 3 Spray
Solução Oftálmica Ster 10mg/ml 5ml,351.0,13,Solução Oftálmica Ster Ml
Trezor 10mg 30 comprimidos revestidos,351.0,13,Trezor Revestidos
Protetor Ocular Oftam Pequeno Bege 20un,351.0,14,Protetor Ocular Oftam Pequeno Bege 20Un
Prelone 3mg/ml Sabor Cereja 60ml + 1 pipeta dosadora,350.0,13,Prelone Ml Sabor Cereja 1 Pipeta Dosadora
Xarope Vick 44E 120ml,350.0,13,Xarope Vick 44E
"Postec 2,5mg/g + 150UTR/g Pomada 20g",350.0,13,Postec 2 G 150Utr G Pomada
Ginkoba 80mg 30 comprimidos revestidos,350.0,13,Ginkoba Revestidos
ProVance Aché Sabor Morango 10 Comprimidos Mastigáveis,350.0,13,Provance Aché Sabor Morango Mastigáveis
"Novanlo 2,5mg 60 comprimidos",350.0,14,Novanlo 2
Solução Oftálmica Liris 5mg/ml 10ml,350.0,13,Solução Oftálmica Liris Ml
Betaserc 24mg 30 comprimidos,350.0,14,Betaserc
Allegra 120mg 2 comprimidos,349.0,14,Allegra
Suplemento Hidroeletrolítico Hidralyte Uva 500ml,349.0,13,Suplemento Hidroeletrolítico Hidralyte Uva
Fisioton 400mg 30 comprimidos revestidos,349.0,13,Fisioton Revestidos
"Solução Nasal Sinustrat Vasoconstritor 0,5mg/ml 10ml",349.0,13,Solução Nasal Sinustrat Vasoconstritor 0 Ml
Velunid 450mg + 50mg 30 comprimidos revestidos,349.0,14,Velunid Revestidos
Spirulina 380mg Bionatus 45 Cápsulas,349.0,14,Spirulina Bionatus
Daktarin 20mg/g Gel Oral 40g,349.0,12,Daktarin G Gel Oral
Calcort 6mg 20 comprimidos,348.0,14,Calcort
"ATACAND COMB - 16mg + 2,5mg, 30 comprimidos de liberação prolongada",348.0,13,Atacand Comb 2 De Liberação Prolongada
Hirudoid 500 Gel 5mg/g 40g,348.0,13,Hirudoid El G
Analgésico Novalgina 50mg/ml Sabor Framboesa 100ml + Seringa Dosadora,348.0,13,Analgésico Novalgina Ml Sabor Framboesa Seringa Dosadora
"Dutam 0,5mg + 0,4mg 30 cápsulas gelatinosas duras de liberação prolongada",348.0,12,Dutam 0 0 Gelatinosas Duras De Liberação Prolongada
Plenance EZE 5mg+10mg 30 Cápsulas,348.0,14,Plenance Eze
