Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Hixizine 25mg 30 Comprimidos Theraskin;233.0;13;São João;7896004712499.0;Doxazosina Genérico EMS 2mg 30 Comprimidos;Disponível;54,07;24,90;-53.9%;24,90;-53.9%;Medicamentos > Saúde Do Homem > Próstata;10087818.0;https://www.saojoaofarmacias.com.br/doxazosina-generico-ems-2mg-30-comprimidos-10087818/p
Tansulosina 0,4mg 60 Cápsulas Genérico Geolab;233.0;12;São João;7899095250888.0;Itraconazol Genérico Geolab 100mg 4 Cápsulas;Disponível;60,23;18,89;-68.6%;18,89;-68.6%;Medicamentos > Antifúngicos > Infecções Sistémicas;10007353.0;https://www.saojoaofarmacias.com.br/itraconazol-generico-geolab-100mg-4-capsulas-10007353/p
Mylicon Suspensão Oral 15ml;233.0;13;São João;7891317412692.0;Astro Suspensão Oral 15ml;Disponível;57,34;52,19;-9.0%;52,19;-9.0%;Medicamentos > Alergias E Infecções > Infecção;1001498.0;https://www.saojoaofarmacias.com.br/astro-suspensao-oral-15ml-1001498/p
Zolpidem 5mg 30 Comprimidos Sublinguais Genérico Germed (B1);233.0;14;São João;7896004767130.0;Zolpidem Genérico EMS 10mg 30 Comprimidos Revestidos (B1);Disponível;80,49;19,90;-75.3%;19,90;-75.3%;Medicamentos > Sistema Nervoso Central > Ansiedade;10005833.0;https://www.saojoaofarmacias.com.br/zolpidem-generico-ems-10mg-30-comprimidos-revestidos--b1--10005833/p
Cerazette 75mcg 28 Comprimidos Revestidos;233.0;14;São João;7897337716215.0;Cerazette 75mcg 28 Comprimidos Revestidos;Disponível;61,04;41,50;-32.0%;41,50;-32.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;14848.0;https://www.saojoaofarmacias.com.br/cerazette-75mcg-28-comprimidos-revestidos-14848/p
Pondera 10mg 20 Comprimidos Revestidos;233.0;12;São João;7896637022767.0;Donaren 50mg 60 Comprimidos Revestidos;Disponível;61,13;52,09;-14.8%;52,09;-14.8%;Medicamentos > Sistema Nervoso Central > Depressão;5400.0;https://www.saojoaofarmacias.com.br/donaren-50mg-60-comprimidos-revestidos-5400/p
Quadriderm Creme 20G Mantecorp;233.0;12;São João;7891142180766.0;Quadriderm Creme Dermatológico Mantecorp 20g;Disponível;60,19;52,99;-12.0%;52,99;-12.0%;Medicamentos > Alergias E Infecções > Corticoide;2439.0;https://www.saojoaofarmacias.com.br/quadriderm-creme-dermatologico-mantecorp-20g-2439/p
Esc ODT 10mg 30 Comprimidos Eurofarma (C1);233.0;13;São João;7891317455040.0;Domperix 10mg 30 Comprimidos Eurofarma;Disponível;31,03;27,59;-11.1%;27,59;-11.1%;Medicamentos > Estômago E Gastrointestinais > Vômito E Náusea;10102460.0;https://www.saojoaofarmacias.com.br/domperix-10mg-30-comprimidos-eurofarma-10102460/p
Xafac 20mg Apsen 98 Comprimidos;233.0;12;São João;7896637023771.0;Labirin 24mg 30 Comprimidos Apsen;Disponível;34,15;34,15;-0.0%;34,15;-0.0%;Medicamentos > Sistema Nervoso Central > Vertigem;10087813.0;https://www.saojoaofarmacias.com.br/labirin-24mg-30-comprimidos-apsen-10087813/p
Colírio Geolab Solução Oftalmológica 20ml;232.0;13;São João;7896676435214.0;Mirugell Solução Oftamológica 5ml;Disponível;27,27;25,69;-5.8%;25,69;-5.8%;Medicamentos > Oftalmologia > Colírios;10103033.0;https://www.saojoaofarmacias.com.br/mirugell-solucao-oftamologica-5ml-10103033/p
Cocyntal 10 Frascos Boiron;232.0;12;;;;;;;;;;;;
Azukon MR 30mg 60 Comprimidos Torrent;232.0;14;São João;7898430195808.0;Piomi 30mg Com 60 Comprimidos Myralis;Disponível;110,12;110,12;-0.0%;110,12;-0.0%;Medicamentos > Diabetes;10048838.0;https://www.saojoaofarmacias.com.br/piomi-30mg-com-60-comprimidos-myralis-10048838/p
Lactosil 4.500 FCC 30 Comprimidos Apsen;232.0;14;São João;7896637031943.0;Flancox 600mg 14 Comprimidos Revestidos Apsen;Disponível;64,50;56,59;-12.3%;56,59;-12.3%;Medicamentos > Anti-inflamatórios;10031629.0;https://www.saojoaofarmacias.com.br/flancox-600mg-14-comprimidos-revestidos-apsen-10031629/p
Creon 25000 30 Cápsulas Abbott;232.0;12;São João;7896253902146.0;Creon 25000 30 Cápsulas Abbott;Disponível;178,95;143,16;-20.0%;143,16;-20.0%;Medicamentos > Estômago E Gastrointestinais > Má Digestão;1003849.0;https://www.saojoaofarmacias.com.br/creon-25000-30-capsulas-abbott-1003849/p
Dual 30mg 60 Cápsulas Ache (C1);232.0;13;São João;7896637033978.0;Atentah 40mg 30 Cápsulas Apsen (C1);Disponível;130,98;108,39;-17.2%;108,39;-17.2%;Medicamentos > Sistema Nervoso Central;10036949.0;https://www.saojoaofarmacias.com.br/atentah-40mg-30-capsulas-apsen--c1--10036949/p
Iumi ES 3mg/0,02mg 120 Comprimidos Revestidos;232.0;13;São João;7896094210295.0;Iumi ES 3mg+0,02mg 120 Comprimidos Revestidos Libbs;Disponível;243,34;170,34;-30.0%;170,34;-30.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10026836.0;https://www.saojoaofarmacias.com.br/iumi-es-3mg-0-02mg-120-comprimidos-revestidos-libbs-10026836/p
Alurax 2mg 30 Comprimidos Revestidos;232.0;12;São João;7896094207851.0;Ancoron 200mg 30 Comprimidos Revestidos Libbs;Disponível;58,81;49,89;-15.2%;49,89;-15.2%;Medicamentos > Cardiológicos > Arritmia Cardíaca;10107471.0;https://www.saojoaofarmacias.com.br/ancoron-200mg-30-comprimidos-revestidos-libbs-10107471/p
Alopurinol 100mg Genérico Medley 30 Comprimidos;232.0;12;São João;7891058001667.0;Amiodarona 100mg 30 Comprimidos Genérico Medley;Disponível;21,12;18,99;-10.1%;18,99;-10.1%;Medicamentos > Cardiológicos > Arritmia Cardíaca;10004818.0;https://www.saojoaofarmacias.com.br/amiodarona-100mg-30-comprimidos-generico-medley-10004818/p
Monocordil Sublingual 5mg 30 Comprimidos Baldacci;232.0;13;São João;7897851220779.0;Divelol 25mg 60 Comprimidos Baldacci;Disponível;76,75;62,59;-18.4%;62,59;-18.4%;Medicamentos > Cardiológicos > Pressão Alta;10099796.0;https://www.saojoaofarmacias.com.br/divelol-25mg-60-comprimidos-baldacci-10099796/p
Óleo Essencial Therapi 10ml Refúgio;232.0;13;São João;7897930002456.0;Homeopatia Ansiolide Ansiedade 30ml Therapi;Disponível;49,90;29,90;-40.1%;29,90;-40.1%;Medicamentos > Fitoterápicos;10035626.0;https://www.saojoaofarmacias.com.br/homeopatia-ansiolide-ansiedade-30ml-therapi-10035626/p
Seizla 150mg 60 Comprimidos Revestidos Torrent (C1);232.0;15;São João;8902220109520.0;Rosucor 20mg 30 Comprimidos Revestidos Torrent;Disponível;75,69;62,29;-17.7%;62,29;-17.7%;Medicamentos > Cardiológicos > Colesterol;10100895.0;https://www.saojoaofarmacias.com.br/rosucor-20mg-30-comprimidos-revestidos-torrent-10100895/p
Tibolona 2,5mg 30 Comprimidos Genérico EMS;232.0;12;São João;7896004706306.0;Prednisona Genérico EMS 5mg 20 Comprimidos;Disponível;19,01;13,90;-26.9%;13,90;-26.9%;Medicamentos > Alergias E Infecções > Corticoide;1002402.0;https://www.saojoaofarmacias.com.br/prednisona-generico-ems-5mg-20-comprimidos-1002402/p
Sertralina 100mg 30 Comprimidos Revestidos Genérico EMS (C1);232.0;12;São João;7896004759593.0;Sertralina Genérico EMS 100mg 30 Comprimidos Revestidos (C1);Disponível;217,62;59,90;-72.5%;59,90;-72.5%;Medicamentos > Sistema Nervoso Central > Depressão;100023221.0;https://www.saojoaofarmacias.com.br/sertralina-generico-ems-100mg-30-comprimidos-revestidos--c1--100023221/p
Floral Kids Therapi 30ml Desobediência;232.0;12;São João;7897930002456.0;Homeopatia Ansiolide Ansiedade 30ml Therapi;Disponível;49,90;29,90;-40.1%;29,90;-40.1%;Medicamentos > Fitoterápicos;10035626.0;https://www.saojoaofarmacias.com.br/homeopatia-ansiolide-ansiedade-30ml-therapi-10035626/p
Lipless 100mg 30 Comprimidos Biolab;232.0;14;São João;7891106904582.0;Qlaira 3mg + 2mg 28 comprimidos Biolab;Disponível;73,39;60,99;-16.9%;60,99;-16.9%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10102163.0;https://www.saojoaofarmacias.com.br/qlaira-3mg---2mg-28-comprimidos-biolab-10102163/p
Aradois HCT Biolab 50mg + 12,5mg 30 Comprimidos;232.0;12;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Besomed Almeida Prado 60 Comprimidos;232.0;13;São João;7896026173018.0;Complexo Homeopático Senna 46 Almeida Prado 60 Comprimidos;Disponível;41,75;37,69;-9.7%;37,69;-9.7%;Medicamentos > Estômago E Gastrointestinais > Laxante;170.0;https://www.saojoaofarmacias.com.br/complexo-homeopatico-senna-46-almeida-prado-60-comprimidos-170/p
Profenid 100mg/2ml Injetável 6 Ampolas Aventis;232.0;12;São João;7908020507017.0;Testosterona 200mg/2ml Solução Injetável 3 Ampolas Genérico Cifarma (C5);Disponível;179,89;124,29;-30.9%;124,29;-30.9%;Medicamentos > Reposição Hormonal;10044056.0;https://www.saojoaofarmacias.com.br/testosterona-200mg-2ml-solucao-injetavel-3-ampolas-generico-cifarma--c5--10044056/p
Teroquatro 4mg/ml 5ml Latinofarma;232.0;13;São João;7896676433128.0;Maxilerg Colírio 5ml Latinofarma;Disponível;42,69;38,49;-9.8%;38,49;-9.8%;Medicamentos > Oftalmologia > Colírios;15364.0;https://www.saojoaofarmacias.com.br/maxilerg-colirio-5ml-latinofarma-15364/p
Cabertrix 8 Comprimidos Adium;232.0;13;São João;7896226500386.0;Bactrim F 800mg/160mg 10 Comprimidos;Disponível;37,61;26,99;-28.2%;26,99;-28.2%;Medicamentos > Alergias E Infecções > Infecção;314.0;https://www.saojoaofarmacias.com.br/bactrim-f-800mg-160mg-10-comprimidos-314/p
Traturil Granulado 1 Envelopes de 8g;231.0;12;São João;7896637030007.0;Traturil Granulado 1 Envelopes de 8g;Disponível;66,38;46,90;-29.3%;46,90;-29.3%;Medicamentos > Alergias E Infecções > Infecção;10001376.0;https://www.saojoaofarmacias.com.br/traturil-granulado-1-envelopes-de-8g-10001376/p
Acheflan Aerosol 75ml Aché;231.0;14;São João;7896658002892.0;Flogo-Rosa 100ml Aché;Disponível;41,05;37,19;-9.4%;37,19;-9.4%;Medicamentos > Saúde Da Mulher > Ginecológicos;1073.0;https://www.saojoaofarmacias.com.br/flogo-rosa-100ml-ache-1073/p
Suganon 5mg 30 Comprimidos Eurofarma;231.0;13;São João;7891317129781.0;Tada Diario 5mg 30 Comprimidos Eurofarma;Disponível;249,06;199,89;-19.7%;199,89;-19.7%;Medicamentos > Saúde Do Homem > Disfunção Erétil;100011319.0;https://www.saojoaofarmacias.com.br/tada-diario-5mg-30-comprimidos-eurofarma-100011319/p
Calminex Diclo 11,6mg/g 85ml Aerossol;231.0;13;São João;7896714273006.0;Massageol Aerossol 120ml;Disponível;31,90;31,90;-0.0%;31,90;-0.0%;Medicamentos > Anti-inflamatórios;11802.0;https://www.saojoaofarmacias.com.br/massageol-aerossol-120ml-11802/p
Curc AOX+ 30 Comprimidos Revestidos Mantecorp;231.0;14;São João;7894916508513.0;Concárdio 5mg 30 Comprimidos Revestidos;Disponível;80,15;80,15;-0.0%;80,15;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10107466.0;https://www.saojoaofarmacias.com.br/concardio-5mg-30-comprimidos-revestidos-10107466/p
Cebion 1g 10 Comprimidos Efervescentes Procter;231.0;13;São João;7896658047992.0;Trezete 10+10mg 60 Comprimidos Revestidos Aché;Disponível;168,73;139,09;-17.6%;139,09;-17.6%;Medicamentos > Cardiológicos > Colesterol;10035814.0;https://www.saojoaofarmacias.com.br/trezete-10-10mg-60-comprimidos-revestidos-ache-10035814/p
Runner 5mg 30 Comprimidos Revestidos Ache;231.0;14;São João;7891317425869.0;Zart 50mg 30 Comprimidos Revestidos;Disponível;14,53;14,53;-0.0%;14,53;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10091180.0;https://www.saojoaofarmacias.com.br/zart-50mg-30-comprimidos-revestidos-10091180/p
Xarope Ebastel 60ml Eurofarma;231.0;13;São João;7894916372770.0;Xarope Loratadina Genérico EMS 100ml;Disponível;46,40;21,89;-52.8%;21,89;-52.8%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;93599.0;https://www.saojoaofarmacias.com.br/xarope-loratadina-generico-ems-100ml-93599/p
Daforin Sigma Pharma 10mg 20 Cápsulas (C1);231.0;12;São João;7894916500777.0;Itraspor 100mg 15 Cápsulas Sigma Pharma;Disponível;94,66;77,29;-18.3%;77,29;-18.3%;Medicamentos > Antifúngicos > Infecções Sistémicas;997846.0;https://www.saojoaofarmacias.com.br/itraspor-100mg-15-capsulas-sigma-pharma-997846/p
Vimpat 100mg 28 Comprimidos Revestidos UCB (C1);231.0;14;São João;7894916515832.0;Vynaxa 20mg 42 Comprimidos Revestidos;Disponível;69,88;69,88;-0.0%;69,88;-0.0%;Medicamentos > Sistema Circulatório > Trombose;10027144.0;https://www.saojoaofarmacias.com.br/vynaxa-20mg-42-comprimidos-revestidos-10027144/p
Maresis Jato Forte Spray Solucão Nasal 150ml;231.0;14;São João;7896658023224.0;Sorine SSC Descongestionante Nasal Spray 100ml;Disponível;47,31;40,50;-14.4%;40,50;-14.4%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;100007735.0;https://www.saojoaofarmacias.com.br/sorine-ssc-descongestionante-nasal-spray-100ml-100007735/p
Vacina Pneumocócica 23 Pneumovax 23 AD/PED 25 MCG MSD + Aplicação;231.0;12;;;;;;;;;;;;
Donaren Retard 150mg 30 Comprimidos;231.0;12;São João;7896637022767.0;Donaren 50mg 60 Comprimidos Revestidos;Disponível;61,13;52,09;-14.8%;52,09;-14.8%;Medicamentos > Sistema Nervoso Central > Depressão;5400.0;https://www.saojoaofarmacias.com.br/donaren-50mg-60-comprimidos-revestidos-5400/p
Diovan Amlo Fix 80+5mg 28 Comprimidos Revestidos FQM;231.0;12;São João;7896637022767.0;Donaren 50mg 60 Comprimidos Revestidos;Disponível;61,13;52,09;-14.8%;52,09;-14.8%;Medicamentos > Sistema Nervoso Central > Depressão;5400.0;https://www.saojoaofarmacias.com.br/donaren-50mg-60-comprimidos-revestidos-5400/p
Benegrip Multi Febre e Dor 15ml Gotas Hypera Pharma;231.0;13;São João;7896094927797.0;Benegrip 12 comprimidos Multi Dia Hypera Pharma;Disponível;28,64;28,64;-0.0%;28,64;-0.0%;Medicamentos > Gripe E Resfriado;10031996.0;https://www.saojoaofarmacias.com.br/benegrip-12-comprimidos-multi-dia-hypera-pharma-10031996/p
Floral Kids Therapi 30ml Sonequita;231.0;14;São João;7896658005305.0;Flogoral Spray 30ml Menta Aché;Disponível;42,28;39,19;-7.3%;39,19;-7.3%;Medicamentos > Analgésicos > Dor De Garganta;1074.0;https://www.saojoaofarmacias.com.br/flogoral-spray-30ml-menta-ache-1074/p
Sitglu Met 850mg 56 Comprimidos Brace Pharma;231.0;13;São João;7894916508940.0;Bramicar 80mg 30 Comprimidos Sigma Pharma;Disponível;98,37;98,37;-0.0%;98,37;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10003299.0;https://www.saojoaofarmacias.com.br/bramicar-80mg-30-comprimidos-sigma-pharma-10003299/p
Rinosoro XT Gotas 30ml;231.0;13;São João;7897322702032.0;Rinosoro Gotas 30ml;Disponível;22,35;22,35;-0.0%;22,35;-0.0%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;5861.0;https://www.saojoaofarmacias.com.br/rinosoro-gotas-30ml-5861/p
Vaslip 10mg 30 Comprimidos Biolab;231.0;13;São João;7896241293669.0;Vasopril 10mg 30 Comprimidos;Disponível;39,75;29,79;-25.1%;29,79;-25.1%;Medicamentos > Cardiológicos > Pressão Alta;14483.0;https://www.saojoaofarmacias.com.br/vasopril-10mg-30-comprimidos-14483/p
Amoxicilina + Clavulanato De Potássio 500mg 21 Comprimidos Revestidos Genérico Sandoz;231.0;13;São João;7897595624642.0;Amoxicilina + Clavulanato De Potássio 500mg 21 Comprimidos Revestidos Genérico Sandoz;Disponível;167,05;99,90;-40.2%;99,90;-40.2%;Medicamentos > Alergias E Infecções > Infecção;100006832.0;https://www.saojoaofarmacias.com.br/amoxicilina---clavulanato-de-potassio-500mg-21-comprimidos-revestidos-generico-sandoz-100006832/p
Atorvastatina 40mg 30 Comprimidos Revestidos Genérico Medley;231.0;13;São João;7896004729442.0;Atorvastatina Genérico EMS 40mg 30 Comprimidos Revestidos;Disponível;174,77;34,90;-80.0%;34,90;-80.0%;Medicamentos > Cardiológicos > Colesterol;10100924.0;https://www.saojoaofarmacias.com.br/atorvastatina-generico-ems-40mg-30-comprimidos-revestidos-10100924/p
Otosylase Sol Otol 10ml Geolab;231.0;12;São João;7896676435221.0;Mirugell Solução Oftamológica 15ml;Disponível;59,19;51,59;-12.8%;51,59;-12.8%;Medicamentos > Oftalmologia > Colírios;10102413.0;https://www.saojoaofarmacias.com.br/mirugell-solucao-oftamologica-15ml-10102413/p
Epocler 10ml 12 Unidades Hypera Pharma;231.0;14;São João;7896094903289.0;Epocler 10ml Hypera AV*;Disponível;4,68;4,68;-0.0%;4,68;-0.0%;Medicamentos > Estômago E Gastrointestinais > Má Digestão;10185.0;https://www.saojoaofarmacias.com.br/epocler-10ml-hypera-av--10185/p
Acebrofilina 120ml Adulto Genérico Biosintética;230.0;12;São João;7896004713366.0;Xarope Acetilcisteína Genérico EMS Adulto 120ml;Disponível;52,76;23,90;-54.7%;23,90;-54.7%;Medicamentos > Gripe E Resfriado > Xarope Para Tosse Produtiva;10085926.0;https://www.saojoaofarmacias.com.br/xarope-acetilcisteina-generico-ems-adulto-120ml-10085926/p
Azitromicina Di-Hidratada 500mg Genérico Prati 3 Comprimidos Revestidos;230.0;12;São João;7898148300556.0;Azitromicina 1g 1 Comprimido Revestido Genérico Prati;Disponível;28,41;25,89;-8.9%;25,89;-8.9%;Medicamentos > Alergias E Infecções > Infecção;100005825.0;https://www.saojoaofarmacias.com.br/azitromicina-1g-1-comprimido-revestido-generico-prati-100005825/p
Tylenol Sinus 500mg 36 Comprimidos;230.0;13;São João;7898074614857.0;Ursacol 50mg 30 Comprimidos;Disponível;66,32;59,49;-10.3%;59,49;-10.3%;Medicamentos > Estômago E Gastrointestinais > Dor No Fígado;100012631.0;https://www.saojoaofarmacias.com.br/ursacol-50mg-30-comprimidos-100012631/p
Prednisolona 40mg 7 Comprimidos Revestidos Genérico Althaia;230.0;13;São João;7898569763015.0;Olmesartana Genérico Althaia 20mg 30 Comprimidos Revestidos;Disponível;46,46;27,90;-39.9%;27,90;-39.9%;Medicamentos > Cardiológicos > Pressão Alta;10025230.0;https://www.saojoaofarmacias.com.br/olmesartana-generico-althaia-20mg-30-comprimidos-revestidos-10025230/p
Antiverrugas Pointts Aerossol Dermatológico 80ml + 12 Aplicadores;230.0;12;São João;7896004703404.0;Amoxicilina + Clavulanato de Potássio 500mg 12 Comprimidos Genérico EMS;Disponível;111,72;54,90;-50.9%;54,90;-50.9%;Medicamentos > Alergias E Infecções > Infecção;993430.0;https://www.saojoaofarmacias.com.br/amoxicilina---clavulanato-de-potassio-500mg-12-comprimidos-generico-ems-993430/p
Paracetamol + Codeína 24 Comprimidos Genérico Biolab (A2);230.0;13;São João;7896004703596.0;Paracetamol Genérico EMS 750mg 20 Comprimidos;Disponível;23,22;13,49;-41.9%;13,49;-41.9%;Medicamentos > Analgésicos > Dor E Febre;94998.0;https://www.saojoaofarmacias.com.br/paracetamol-generico-ems-750mg-20-comprimidos-94998/p
Rivaroxabana 10mg 30 Comprimidos Revestidos Genérico EMS;230.0;13;São João;7896004766997.0;Rivaroxabana Genérico EMS 10mg 30 Comprimidos Revestidos;Disponível;271,97;59,90;-78.0%;59,90;-78.0%;Medicamentos > Sistema Circulatório > Trombose;10026839.0;https://www.saojoaofarmacias.com.br/rivaroxabana-generico-ems-10mg-30-comprimidos-revestidos-10026839/p
Sinvastatina Genérico EMS 10mg 30 Comprimidos;230.0;12;São João;7896004755342.0;Rosuvastatina Genérico EMS 5mg 60 Comprimidos;Disponível;150,27;69,90;-53.5%;69,90;-53.5%;Medicamentos > Cardiológicos > Colesterol;100013159.0;https://www.saojoaofarmacias.com.br/rosuvastatina-generico-ems-5mg-60-comprimidos-100013159/p
Azitromicina Genérico Cimed 500mg 3 Comprimidos Revestidos;230.0;13;São João;7896523226811.0;Azitromicina Genérico Cimed 500mg 5 Comprimidos Revestidos;Disponível;46,62;14,90;-68.0%;14,90;-68.0%;Medicamentos > Alergias E Infecções > Infecção;10006790.0;https://www.saojoaofarmacias.com.br/azitromicina-generico-cimed-500mg-5-comprimidos-revestidos-10006790/p
Carvedilol 25mg 30 Comprimidos Genérico EMS;230.0;12;São João;7896004731322.0;Carvedilol Genérico EMS 25mg 30 Comprimidos;Disponível;116,69;41,89;-64.1%;41,89;-64.1%;Medicamentos > Cardiológicos > Pressão Alta;100003175.0;https://www.saojoaofarmacias.com.br/carvedilol-generico-ems-25mg-30-comprimidos-100003175/p
Allegra Antialérgico Pediátrico Cloridrato de Fexofenadina 6mg/ml Suspenção Oral 150ml;230.0;14;São João;7891058006716.0;Allegra D Fexofenadina 60mg+Pseudoefedrina 120mg 10 Comprimidos Sanofi;Disponível;72,06;72,06;-0.0%;72,06;-0.0%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;10126.0;https://www.saojoaofarmacias.com.br/allegra-d-fexofenadina-60mg-pseudoefedrina-120mg-10-comprimidos-sanofi-10126/p
Brilinta 90mg 60 Comprimidos Revestidos AstraZeneca;230.0;12;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Metoprolol 100mg 30 Comprimidos Genérico Biolab;230.0;12;São João;7896523201542.0;Metoprolol 100mg 30 Comprimidos Revestidos Genérico Cimed;Disponível;85,49;49,90;-41.6%;49,90;-41.6%;Medicamentos > Cardiológicos > Pressão Alta;10035354.0;https://www.saojoaofarmacias.com.br/metoprolol-100mg-30-comprimidos-revestidos-generico-cimed-10035354/p
Salbutamol Xarope 120ml Genérico Prati-Donaduzzi;229.0;13;São João;7898148296552.0;Prednisolona Solução Oral Genérico Prati-Donaduzzi 1mg/ml 60ml;Disponível;19,24;12,04;-37.4%;12,04;-37.4%;Medicamentos > Alergias E Infecções > Corticoide;10086129.0;https://www.saojoaofarmacias.com.br/prednisolona-solucao-oral-generico-prati-donaduzzi-1mg-ml-60ml-10086129/p
Vasogard Aché 50mg 30 Comprimidos;229.0;12;São João;7896658008801.0;Levoid 88mcg 30 Comprimidos Aché;Disponível;27,15;24,29;-10.5%;24,29;-10.5%;Medicamentos > Reposição Hormonal > Tireoide;10090184.0;https://www.saojoaofarmacias.com.br/levoid-88mcg-30-comprimidos-ache-10090184/p
Dorii Pro 550mg 10 Comprimidos Revestidos Hypera Pharma;229.0;13;São João;7896004789828.0;Desloratadina 5mg Genérico EMS 10 Comprimidos Revestidos;Disponível;74,20;16,99;-77.1%;16,99;-77.1%;Medicamentos > Alergias E Infecções > Antialérgicos;10098809.0;https://www.saojoaofarmacias.com.br/desloratadina-5mg-generico-ems-10-comprimidos-revestidos-10098809/p
